21	36	44
47	38	43
75	38	38
95	39	39
113	38	36
133	36	34
157	28	29
179	19	26
204	0	22
0	50	50
10	54	52
51	57	50
75	55	46
98	58	44
118	58	42
141	55	38
166	48	34
182	39	29
211	25	26
0	77	61
0	80	60
43	85	57
76	85	55
103	86	52
126	90	48
154	89	46
178	84	42
197	77	38
220	67	34
0	94	66
0	101	65
30	106	61
71	110	60
106	111	57
133	113	54
161	112	50
187	110	45
209	103	42
233	97	36
0	112	70
0	117	69
0	126	67
57	129	64
100	131	60
131	131	57
165	133	52
194	131	47
223	129	44
240	123	41
0	121	73
0	129	72
0	140	70
48	147	66
92	152	62
128	160	60
165	163	56
198	160	51
225	155	46
246	148	42
0	130	74
0	138	71
0	152	71
30	160	68
84	167	65
120	174	61
158	180	56
194	180	50
232	179	44
250	174	39
0	135	76
0	146	74
0	160	71
0	168	69
67	177	66
109	187	62
152	195	54
193	202	49
228	204	42
254	202	37
0	143	75
0	153	73
0	166	71
0	174	67
57	182	66
95	191	62
136	203	57
180	215	48
216	224	37
254	226	26
5	34	44
21	36	44
47	38	43
75	38	38
95	39	39
113	38	36
133	36	34
157	28	29
179	19	26
204	0	22
0	50	50
10	54	52
51	57	50
75	55	46
98	58	44
118	58	42
141	55	38
166	48	34
182	39	29
211	25	26
0	77	61
0	80	60
43	85	57
76	85	55
103	86	52
126	90	48
154	89	46
178	84	42
197	77	38
220	67	34
0	94	66
0	101	65
30	106	61
71	110	60
106	111	57
133	113	54
161	112	50
187	110	45
209	103	42
233	97	36
0	112	70
0	117	69
0	126	67
57	129	64
100	131	60
131	131	57
165	133	52
194	131	47
223	129	44
240	123	41
0	121	73
0	129	72
0	140	70
48	147	66
92	152	62
128	160	60
165	163	56
198	160	51
225	155	46
246	148	42
0	130	74
0	138	71
0	152	71
30	160	68
84	167	65
120	174	61
158	180	56
194	180	50
232	179	44
250	174	39
0	135	76
0	146	74
0	160	71
0	168	69
67	177	66
109	187	62
152	195	54
193	202	49
228	204	42
254	202	37
0	143	75
0	153	73
0	166	71
0	174	67
57	182	66
95	191	62
136	203	57
180	215	48
216	224	37
254	226	26
